system:index,ADM0_CODE,ADM0_NAME,ADM1_CODE,ADM1_NAME,DISP_AREA,EXP1_YEAR,STATUS,STR1_YEAR,Shape_Area,Shape_Leng,sum,.geo
2012_01_01_0000000000000000050e,116,Indonesia,73615,Maluku,NO,3000,Member State,2000,3.0497299581,67.4829929188,0.0,
2012_01_01_0000000000000000050f,116,Indonesia,73616,Maluku Utara,NO,3000,Member State,2000,3.28392553982,49.4969045014,0.0,
2012_01_01_00000000000000000510,116,Indonesia,73609,Bangka Belitung,NO,3000,Member State,2001,1.34250226388,15.4043007381,0.0,
2012_01_01_00000000000000000511,116,Indonesia,73610,Banten,NO,3000,Member State,2001,0.767960302818,7.66151426209,0.0,
2012_01_01_00000000000000000512,116,Indonesia,73611,Gorontalo,NO,3000,Member State,2001,0.979086320314,7.96227450432,0.0,
2012_01_01_00000000000000000513,116,Indonesia,73613,Jawa Barat,NO,3000,Member State,2001,3.01765470711,10.3607711103,0.0,
2012_01_01_00000000000000000514,116,Indonesia,73621,Sulawesi Utara,NO,3000,Member State,2001,1.19220023356,16.5619087628,0.0,
2012_01_01_00000000000000000515,116,Indonesia,73622,Sumatera Selatan,NO,3000,Member State,2001,7.02092077047,19.3893156006,0.0,
2012_01_01_00000000000000000516,116,Indonesia,73614,Kepulauan-riau,NO,3000,Member State,2003,0.656274743952,41.6217828117,0.0,
2012_01_01_00000000000000000517,116,Indonesia,73618,Riau,NO,3000,Member State,2003,7.28528585986,29.5074772317,148.20392156862744,
2012_01_01_00000000000000000518,116,Indonesia,73619,Sulawesi Barat,NO,3000,Member State,2005,1.3750471787,9.47154312238,0.0,
2012_01_01_00000000000000000519,116,Indonesia,73620,Sulawesi Selatan,NO,3000,Member State,2005,3.72149090267,22.6856747955,0.0,
2012_01_01_000000000000000004fb,116,Indonesia,1512,Nangroe Aceh Darussalam,NO,3000,Member State,1000,4.63252630646,22.1879580059,0.0,
2012_01_01_000000000000000004fc,116,Indonesia,1513,Bali,NO,3000,Member State,1000,0.464131070879,4.89917464395,0.0,
2012_01_01_000000000000000004fd,116,Indonesia,1514,Bengkulu,NO,3000,Member State,1000,1.64915304782,11.5026564675,0.0,
2012_01_01_000000000000000004fe,116,Indonesia,1515,Daerah Istimewa Yogyakarta,NO,3000,Member State,1000,0.259007506338,3.07381580273,0.0,
2012_01_01_000000000000000004ff,116,Indonesia,1516,Dki Jakarta,NO,3000,Member State,1000,0.0525739696995,1.26427510409,0.0,
2012_01_01_00000000000000000500,116,Indonesia,1518,Jambi,NO,3000,Member State,1000,3.98362305081,12.106022937,0.0,
2012_01_01_00000000000000000501,116,Indonesia,1520,Jawa Tengah,NO,3000,Member State,1000,2.79583383316,14.4539821093,0.0,
2012_01_01_00000000000000000502,116,Indonesia,1521,Jawa Timur,NO,3000,Member State,1000,3.91593305327,27.4172930239,0.0,
2012_01_01_00000000000000000503,116,Indonesia,1522,Kalimantan Barat,NO,3000,Member State,1000,11.9682752257,32.3374899864,1.0,
2012_01_01_00000000000000000504,116,Indonesia,1523,Kalimantan Selatan,NO,3000,Member State,1000,3.04093346459,16.1085423149,0.0,
2012_01_01_00000000000000000505,116,Indonesia,1524,Kalimantan Tengah,NO,3000,Member State,1000,12.4920233562,23.0523246358,0.0,
2012_01_01_00000000000000000506,116,Indonesia,1525,Kalimantan Timur,NO,3000,Member State,1000,16.0381791159,47.5625141118,0.0,
2012_01_01_00000000000000000507,116,Indonesia,1526,Lampung,NO,3000,Member State,1000,2.74491759999,13.8161220188,0.0,
2012_01_01_00000000000000000508,116,Indonesia,1528,Nusatenggara Barat,NO,3000,Member State,1000,1.61326661871,21.9991544399,0.0,
2012_01_01_00000000000000000509,116,Indonesia,1529,Nusatenggara Timur,NO,3000,Member State,1000,3.79469995405,44.712808443,0.0,
2012_01_01_0000000000000000050a,116,Indonesia,1532,Sulawesi Tengah,NO,3000,Member State,1000,4.96684063578,46.4476369004,0.0,
2012_01_01_0000000000000000050b,116,Indonesia,1533,Sulawesi Tenggara,NO,3000,Member State,1000,2.93381725254,30.5352714395,0.0,
2012_01_01_0000000000000000050c,116,Indonesia,1535,Sumatera Barat,NO,3000,Member State,1000,3.46298115698,23.8918442257,0.0,
